epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1611.92,2.3036,2.94085,1.60656,0.44484,0.56891,0.44574,0.25509,1.50612,1.76465,1.20611,0.00195918,0.000653061,0.00195918,0.000653061,0.00195918,0.000653061,0.00195918,0.000653061
2,2204.61,1.56242,1.60162,1.30505,0.5084,0.63687,0.48981,0.29734,1.31318,1.41019,1.16201,0.00391019,0.0013034,0.00391019,0.0013034,0.00391019,0.0013034,0.00391019,0.0013034
3,2754.42,1.36775,1.26929,1.17781,0.47992,0.6629,0.47632,0.30571,1.30422,1.46118,1.14839,0.00581169,0.00193723,0.00581169,0.00193723,0.00581169,0.00193723,0.00581169,0.00193723
4,4231.2,1.26147,1.17091,1.12187,0.45164,0.67608,0.45259,0.28928,1.26832,1.35037,1.12477,0.00577725,0.00192575,0.00577725,0.00192575,0.00577725,0.00192575,0.00577725,0.00192575
5,5294.34,1.26544,1.11233,1.09489,0.45867,0.65104,0.41529,0.2664,1.25707,1.35196,1.11662,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
6,5736.52,1.23803,1.05494,1.07048,0.48404,0.7194,0.46363,0.30671,1.22624,1.283,1.10977,0.00562875,0.00187625,0.00562875,0.00187625,0.00562875,0.00187625,0.00562875,0.00187625
7,6177.67,1.18255,1.03915,1.05703,0.50145,0.72928,0.50469,0.33538,1.21714,1.26053,1.09938,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
8,6612.6,1.19266,1.00829,1.05897,0.52303,0.68173,0.50054,0.33179,1.22422,1.22111,1.09221,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675
9,7098.77,1.14091,0.97585,1.03984,0.53331,0.70056,0.49593,0.32773,1.20954,1.22964,1.0818,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
10,7526.75,1.13696,0.95756,1.03416,0.54004,0.66855,0.49747,0.32606,1.19357,1.23042,1.08543,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725
